Numero,Titolo Reel,Hook iniziale,Script breve,CTA
1,Non aspettare il lunedi,"Se stai aspettando il momento perfetto, guarda qui.","Mostra ingresso palestra, sorriso staff, frase finale sul partire oggi.","Scrivici PROVA"
2,Prima visita guidata,"Hai paura della prima volta in palestra?","Fai vedere reception, sala e supporto iniziale in tre clip.","Prenota la tua visita"
3,Errore principianti,"L'errore che blocca quasi tutti all'inizio.","Spiega in 2 frasi che servono piano e costanza, non caos.","Salva il video"
4,Allenamento breve,"Hai solo 30 minuti? Bastano se fatti bene.","Mostra 3 esercizi base con testo rapido sovraimpresso.","Chiedi un piano base"
5,Storia cliente,"Non serve essere gia allenati per iniziare.","Racconta un mini caso cliente con tono realistico.","Mandaci un DM"
6,Open day,"Vuoi capire se questa palestra fa per te?","Invito rapido con scene della struttura e del team.","Prenota il posto"
7,Backstage team,"Chi ti segue in sala conta davvero.","Presenta due trainer e il loro approccio.","Vieni a conoscerci"
8,Donna e sala pesi,"No, i pesi non sono solo per chi vuole massa.","Clip con trainer che spiega benefici forza.","Scrivici DONNA"
9,Postura e mobilita,"Ti senti rigido dopo ore seduto?","Mostra due esercizi semplici e invito a provarli bene.","Richiedi la prova"
10,Ripartenza dopo pausa,"Se ti sei fermato, non ricominciare da zero mentale.","Messaggio motivante con immagini semplici di rientro.","Scrivici RITORNO"
11,PT introduttivo,"Quando ha senso fare personal training?","Spiega in 15 secondi i vantaggi per chi vuole risultati piu rapidi.","Chiedi info PT"
12,Mini FAQ,"Quanto spesso devo allenarmi per iniziare bene?","Risposta breve del trainer in camera.","Invia la tua domanda"
13,Atmosfera palestra,"Non tutte le palestre ti fanno sentire a tuo agio.","Clip ambiente pulito, staff presente, persone diverse.","Prenota una visita"
14,Tecnica corretta,"Piccoli errori tecnici, grandi differenze nei risultati.","Mostra prima/dopo di un gesto corretto.","Salva per dopo"
15,Trasformazione sana,"I risultati migliori non arrivano in 7 giorni.","Video motivazionale con focus su costanza.","Seguici per altri consigli"
16,Promo del mese,"Se stai pensando di iniziare, questo e il mese giusto.","Presenta la promo con testo pulito e CTA finale.","Scrivici PROMO"
17,Allenarsi in coppia,"Con un amico e tutto piu facile.","Mostra due persone che si allenano insieme.","Chiedi promo coppia"
18,Lezione di gruppo,"Vuoi energia e guida nello stesso momento?","Mostra una classe breve e il clima del gruppo.","Prova una lezione"
19,Risposta obiezione tempo,"Non ho tempo e la frase che sentiamo piu spesso.","Spiega come organizzare 2-3 sessioni realistiche.","Scrivici TEMPO"
20,Recensione cliente,"Meglio una voce reale di mille slogan.","Mostra recensione su schermo e breve clip palestra.","Leggi altre recensioni"
21,3 motivi per iniziare,"Tre motivi concreti per iniziare ad allenarti ora.","Conta i punti in formato rapido con testo grande.","Prenota una prova"
22,Welcome in reception,"Cosa succede appena entri da noi.","Mostra accoglienza, registrazione e presentazione spazi.","Vieni a trovarci"
23,Focus glutei/core,"Uno degli obiettivi piu richiesti? Stabilita e tono.","Clip di esercizi con spiegazione essenziale.","Chiedi un percorso personalizzato"
24,Ritorno post estate,"Settembre non e solo ripartenza, e decisione.","Montaggio rapido con tono energico.","Scrivici SETTEMBRE"
25,Trainer tip,"Un consiglio semplice che migliora subito il tuo allenamento.","Trainer in camera con tip pratico.","Salva questo Reel"
26,Clienti reali,"Qui si allenano persone vere, non solo performer.","Mostra profili diversi di clienti con tono inclusivo.","Prenota il primo incontro"
27,Open week countdown,"Mancano pochi giorni all'open week.","Clip veloci + timer + invito finale.","Blocca il tuo posto"
28,Perche molli,"Il problema non e la motivazione, e il sistema.","Spiega che serve un piano sostenibile.","Chiedi il nostro metodo"
29,Scheda + supporto,"Una scheda da sola non basta se non la capisci.","Mostra trainer che corregge e motiva.","Richiedi supporto"
30,Invito finale mese,"Se hai seguito questi Reel, adesso fai il passo vero.","Montaggio dei migliori momenti del mese.","Scrivici START"
