Giorno,Tipo contenuto,Tema,Caption breve,CTA,Hashtag
1,Carousel,Inizio percorso,"Ogni percorso inizia da un primo passo fatto bene.","Scrivici PROVA per iniziare","#palestra #fitness #inizio"
2,Reel,Errore comune,"Allenarti tanto non basta se non hai direzione.","Prenota una prova","#allenamento #gymtips #risultati"
3,Story,Community,"Qui non entri da solo: entri in un ambiente che ti supporta.","Rispondi alla storia","#community #palestra #motivazione"
4,Post,Benefici forza,"La forza migliora postura, energia e fiducia.","Chiedi info in DM","#forza #salapesi #benessere"
5,Reel,Prima visita,"Ecco come funziona la tua prima visita in palestra.","Prenota la tua visita","#primavisita #fitnessclub #prova"
6,Carousel,Falsi miti,"No, non devi essere gia in forma per iniziare.","Condividi con un amico","#fitnessmyths #palestra #wellness"
7,Story,Testimonianza,"Piccoli progressi costanti fanno grandi differenze.","Scrivici per partire","#testimonial #trasformazione #gym"
8,Post,Allenamento guidato,"Con una guida chiara fai meno errori e migliori prima.","Scopri i nostri percorsi","#coach #allenamentoguidato #palestra"
9,Reel,Routine breve,"20 secondi per mostrarti un allenamento semplice ma efficace.","Salva il Reel","#reelfitness #workout #gym"
10,Carousel,Obiettivi realistici,"Meglio un obiettivo chiaro che dieci promesse vaghe.","Prenota un check iniziale","#obiettivi #fitnessjourney #wellness"
11,Post,Personal trainer,"Il personal trainer non serve solo agli atleti.","Richiedi una consulenza","#personaltrainer #gymsupport #allenamento"
12,Story,Domande frequenti,"Hai dubbi sulla palestra? Rispondiamo qui.","Invia la tua domanda","#faq #fitnessclub #supporto"
13,Reel,Backstage,"Dietro ogni allenamento ben fatto c'e una struttura.","Vieni a conoscerci","#behindthescenes #palestra #fitness"
14,Post,Costanza,"La costanza batte l'entusiasmo di tre giorni.","Inizia questa settimana","#costanza #motivation #gym"
15,Carousel,Lezione prova,"Cosa succede durante la tua prova gratuita.","Prenota il tuo posto","#prova #openweek #fitnessclub"
16,Reel,Open day,"Una giornata per provare spazi, energia e metodo.","Registrati ora","#openday #palestra #evento"
17,Story,Quiz,"Qual e il tuo obiettivo principale?","Vota nelle storie","#engagement #fitnessgoals #story"
18,Post,Recupero inattivi,"Ricominciare bene vale piu che aspettare il momento perfetto.","Scrivici RITORNO","#riparti #rientro #palestra"
19,Carousel,Abitudini sane,"Tre abitudini semplici per sentirti meglio ogni settimana.","Salva il post","#abitudini #benessere #fitness"
20,Reel,Tecnica base,"Un piccolo dettaglio tecnico cambia tutto.","Richiedi supporto in sala","#tecnica #workouttips #gym"
21,Post,Offerta del mese,"Percorso del mese pensato per chi vuole ripartire con metodo.","Chiedi la promo attiva","#promo #fitnessdeal #palestra"
22,Story,Team,"Ti presentiamo chi ti segue in sala ogni giorno.","Manda un saluto","#team #gymstaff #community"
23,Carousel,Donne e pesi,"I pesi non ti appesantiscono: ti rendono piu forte.","Prenota una prova donna","#womenfitness #forza #palestra"
24,Reel,Risultati realistici,"Non promesse magiche, ma progressi concreti e sostenibili.","Scrivici per il tuo piano","#realresults #fitnessjourney #gym"
25,Post,Recensione,"Le parole dei clienti contano piu di qualsiasi slogan.","Leggi le recensioni","#reviews #clientisoddisfatti #palestra"
26,Story,Reminder promo,"Ultimi giorni per approfittare della promo in corso.","Contattaci oggi","#lastcall #promo #fitness"
27,Carousel,Perche iniziare ora,"Aspettare il momento perfetto ti allontana dai risultati.","Fissa la tua prima visita","#startnow #gymmotivation #palestra"
28,Reel,Mini allenamento,"Una proposta veloce per sentirti subito piu attivo.","Salva e prova oggi","#quickworkout #reelitalia #fitness"
29,Post,Community locale,"Allenarsi vicino a casa con un team che ti conosce fa la differenza.","Vieni a trovarci","#localbusiness #palestra #fitnessclub"
30,Carousel,Chiusura mese,"Sei pronto a fare il passo successivo? Questo e il momento giusto.","Scrivici START","#calltoaction #iscrizione #gym"
